Daily Gross Short Sales reported for 29-May-2018, ASX Limited (ASX) & Chi-X Australia (CHI-X)

No responsibility is accepted for any inaccuracies contained in the matter published.
Securities that have had no short sales actively reported for the date shown are excluded from this report.

ASX     Company Name                      Product/      Reported Gross         Issued              % of issued capital
COH     COCHLEAR LIMITED                  FPO                   29,838          57,547,820         .05
CPU     COMPUTERSHARE LIMITED.            FPO                  203,162         542,955,868         .03
CQR     CHARTER HALL RETAIL REIT          UNIT                 379,313         402,733,504         .09
CSL     CSL LIMITED                       FPO                  147,157         452,399,974         .03
CSR     CSR LIMITED                       FPO                  464,693         504,308,227         .09
CSS     CLEAN SEAS SEAFOOD LIMITED        FPO                   13,448       1,667,314,190         .00
CSV     CSG LIMITED                       FPO                  365,385         338,608,057         .10
CTD     CORPORATE TRAVEL MANAGEMENT LIMIT FPO                  249,573         106,108,452         .23
CTX     CALTEX AUSTRALIA LIMITED          FPO                   79,637         260,810,519         .03
CVN     CARNARVON PETROLEUM LIMITED       FPO                    9,392       1,152,569,809         .00
CWN     CROWN RESORTS LIMITED             FPO                  254,033         688,480,300         .03
CWP     CEDAR WOODS PROPERTIES LIMITED    FPO                    2,201          79,516,567         .00
CWY     CLEANAWAY WASTE MANAGEMENT LIMITE FPO                1,021,619       2,036,684,232         .05
CYB     CYBG PLC                          CDI 1:1              631,170         733,735,572         .08
CZL     CONSOLIDATED ZINC LIMITED         FPO                  323,271         908,271,497         .03
DCC     DIGITALX LIMITED                  FPO                   93,284         486,865,628         .01
DCG     DECMIL GROUP LIMITED              FPO                      181         173,811,927         .00
DCN     DACIAN GOLD LIMITED               FPO                   12,240         205,844,814         .00
DDR     DICKER DATA LIMITED               FPO                    2,200         160,531,611         .00
DEG     DE GREY MINING LIMITED            FPO                  257,457         334,468,800         .07
DFM     DONGFANG MODERN AGRICULTURE HOLDI FPO                   24,076         420,356,644         .00
DGO     DGO GOLD LIMITED                  FPO                    2,500          11,811,374         .02
DHG     DOMAIN HOLDINGS AUSTRALIA LIMITED FPO                  108,664         580,494,798         .01
DJRE    SPDR DOW JONES GLOBAL REAL ESTATE ETF UNITS             18,869          10,852,980         .17
DLX     DULUXGROUP LIMITED                FPO                  224,237         389,250,252         .05
DMP     DOMINO'S PIZZA ENTERPRISES LIMITE FPO                  320,832          85,367,766         .37
DNA     DONACO INTERNATIONAL LIMITED      FPO                  289,786         825,007,773         .03
DNK     DANAKALI LIMITED                  FPO                      624         263,242,854         .00
DOW     DOWNER EDI LIMITED                FPO                  213,413         594,702,512         .03
DRM     DORAY MINERALS LIMITED            FPO                   15,855         446,685,438         .00
DWS     DWS LIMITED                       FPO                      178         131,831,328         .00
DXN     THE DATA EXCHANGE NETWORK LIMITED FPO                   12,000         106,825,001         .01
DXS     DEXUS                             STAPLED              658,572       1,017,196,877         .06
EAR     ECHO RESOURCES LIMITED            FPO                    1,031         488,646,414         .00
ECX     ECLIPX GROUP LIMITED              FPO                  270,627         316,074,157         .08
EDE     EDEN INNOVATIONS LTD              FPO                    1,566       1,380,983,869         .00
EEG     EMPIRE ENERGY GROUP LIMITED       FPO                   25,000       1,265,237,176         .00
EGH     EUREKA GROUP HOLDINGS LIMITED     FPO                    2,374         230,037,638         .00
EHE     ESTIA HEALTH LIMITED              FPO                   76,340         260,602,749         .02
EHL     EMECO HOLDINGS LIMITED            FPO                1,057,614       3,178,858,997         .03
ELD     ELDERS LIMITED                    FPO                  319,422         115,735,350         .27
ELT     ELEMENTOS LIMITED                 FPO                   97,101       1,286,606,416         .00
EML     EML PAYMENTS LIMITED              FPO                   54,955         247,493,769         .02
ENN     ELANOR INVESTORS GROUP            STAPLED               18,042          92,672,229         .01
EPW     ERM POWER LIMITED                 FPO                   66,886         256,505,216         .02
ERA     ENERGY RESOURCES OF AUSTRALIA LIM FPO 'A'                  601         517,725,062         .00
EVN     EVOLUTION MINING LIMITED          FPO                1,614,108       1,692,612,049         .09
EVT     EVENT HOSPITALITY AND ENTERTAINME FPO                    1,765         160,556,968         .00
FAR     FAR LIMITED                       FPO                   24,200       5,461,532,458         .00
FBU     FLETCHER BUILDING LIMITED         FPO NZX              390,519         853,347,141         .04
FCT     FIRSTWAVE CLOUD TECHNOLOGY LIMITE FPO                    3,109         199,559,217         .00
FDM     FREEDOM OIL AND GAS LTD           FPO                   11,200         910,355,885         .00
FET     FOLKESTONE EDUCATION TRUST        UNIT                   8,309         255,753,736         .00
FIG     FREEDOM INSURANCE GROUP LTD       FPO                   42,000         239,723,495         .01
FLC     FLUENCE CORPORATION LIMITED       FPO                   11,526         415,268,167         .00
FLT     FLIGHT CENTRE TRAVEL GROUP LIMITE FPO                   45,877         101,070,091         .04
FMG     FORTESCUE METALS GROUP LTD        FPO                3,675,137       3,113,798,151         .11
FNP     FREEDOM FOODS GROUP LIMITED       FPO                   28,123         243,983,810         .01
FOD     THE FOOD REVOLUTION GROUP LIMITED FPO                  267,594         434,064,903         .06
FPH     FISHER & PAYKEL HEALTHCARE CORPOR FPO NZX               37,841         571,341,708         .00
FTC     FINTECH CHAIN LIMITED             CDI 1:1              170,000         642,245,702         .02
FTT     FACTOR THERAPEUTICS LIMITED       FPO                   62,599         834,335,633         .00
FWD     FLEETWOOD CORPORATION LIMITED     FPO                    3,293          61,228,081         .00
FXJ     FAIRFAX MEDIA LIMITED             FPO                1,035,957       2,299,475,546         .04
FXL     FLEXIGROUP LIMITED                FPO                  114,094         374,277,178         .03
GBT     GBST HOLDINGS LIMITED             FPO                    2,643          67,912,508         .00
GCS     GLOBAL CONSTRUCTION SERVICES LIMI FPO                   10,150         211,025,072         .00
GCY     GASCOYNE RESOURCES LIMITED        FPO                   19,898         434,702,028         .00
GDF     GARDA DIVERSIFIED PROPERTY FUND   UNITS                  1,976         138,444,594         .00
GDI     GDI PROPERTY GROUP                STAPLED              289,098         536,665,396         .05
GEM     G8 EDUCATION LIMITED              FPO                1,101,472         453,474,679         .24
GGG     GREENLAND MINERALS AND ENERGY LIM FPO                   46,691       1,105,442,744         .00
GMA     GENWORTH MORTGAGE INSURANCE AUSTR FPO                  383,327         473,813,684         .08
GMG     GOODMAN GROUP                     STAPLED            2,270,033       1,800,763,877         .12
GNC     GRAINCORP LIMITED                 FPO                  532,133         228,855,628         .23
GNX     GENEX POWER LIMITED               FPO                   10,562         303,931,514         .00
GOR     GOLD ROAD RESOURCES LIMITED       FPO                  193,420         877,498,274         .02
GOZ     GROWTHPOINT PROPERTIES AUSTRALIA  STAPLED              259,498         675,384,368         .03
GPT     GPT GROUP                         STAPLED            1,973,668       1,804,890,426         .10
GSBG23  AUSTRALIAN GOVERNMENT TREASURY BO GVM6WU                    16         222,999,000         .00
GSC     GLOBAL GEOSCIENCE LIMITED         FPO                   70,070       1,339,185,087         .00
GTN     GTN LIMITED                       FPO                    6,921         224,720,643         .00
GTY     GATEWAY LIFESTYLE GROUP           STAPLED              702,598         302,200,871         .23
GUD     G.U.D. HOLDINGS LIMITED           FPO                   41,486          86,185,698         .04
GWA     GWA GROUP LIMITED.                FPO                  104,894         263,947,630         .04
GXL     GREENCROSS LIMITED                FPO                  431,780         119,974,292         .36
GXY     GALAXY RESOURCES LIMITED          FPO                2,174,145         407,380,590         .53
HFR     HIGHFIELD RESOURCES LIMITED       FPO                    1,384         329,425,003         .00
HIG     HIGHLANDS PACIFIC LIMITED         FPO 40T              308,956         950,203,336         .03
HPI     HOTEL PROPERTY INVESTMENTS        STAPLED                2,806         146,105,439         .00
HSN     HANSEN TECHNOLOGIES LIMITED       FPO                   10,289         196,648,230         .00
HSO     HEALTHSCOPE LIMITED.              FPO                  579,710       1,739,703,286         .03
HT1     HT&E LIMITED                      FPO                  113,098         308,912,092         .03
HUB     HUB24 LIMITED                     FPO                    8,830          61,588,666         .01
HUO     HUON AQUACULTURE GROUP LIMITED    FPO                        5          87,337,207         .00
HVN     HARVEY NORMAN HOLDINGS LIMITED    FPO                  771,839       1,114,188,911         .06
HXG     HEXAGON RESOURCES LIMITED         FPO                      100         252,186,747         .00
IAG     INSURANCE AUSTRALIA GROUP LIMITED FPO                1,633,269       2,367,524,344         .06
IAU     INTREPID MINES LIMITED            FPO                       34          13,976,556         .00
IDR     INDUSTRIA REIT                    STAPLED                4,316         162,839,743         .00
IDX     INTEGRAL DIAGNOSTICS LIMITED      FPO                    3,665         145,044,157         .00
IEL     IDP EDUCATION LIMITED             FPO                   89,050         250,294,968         .03
IEM     ISHARES MSCI EMERGING MARKETS ETF CDI 1:1               12,745          10,716,720         .11
IFL     IOOF HOLDINGS LIMITED             FPO                  409,658         351,076,027         .11
IFM     INFOMEDIA LTD                     FPO                   11,019         310,823,521         .00
IFN     INFIGEN ENERGY                    STAPLED              154,133         954,060,175         .01
IGO     INDEPENDENCE GROUP NL             FPO                2,048,573         586,850,899         .34
ILU     ILUKA RESOURCES LIMITED           FPO                  157,563         422,042,226         .03
IMC     IMMURON LIMITED                   FPO                       86         142,778,206         .00
IMD     IMDEX LIMITED                     FPO                   29,219         369,654,426         .00
IMF     IMF BENTHAM LIMITED               FPO                   27,970         173,863,277         .01
IMU     IMUGENE LIMITED                   FPO                   17,559       2,854,807,170         .00
INA     INGENIA COMMUNITIES GROUP         STAPLED                3,107         208,091,633         .00
ING     INGHAMS GROUP LIMITED             FPO                   52,614         380,243,196         .01
INM     IRON MOUNTAIN INCORPORATED        CDI 1:1                  451          48,264,810         .00
IOF     INVESTA OFFICE FUND               STAPLED            1,517,468         598,418,985         .25
IOZ     ISHARES CORE S&P/ASX 200 ETF      ETF UNITS             32,805          44,711,952         .07
IPB     IPB PETROLEUM LIMITED             FPO                  100,000         160,335,252         .06
IPD     IMPEDIMED LIMITED                 FPO                   33,131         378,043,121         .00
IPH     IPH LIMITED                       FPO                  312,310         197,963,382         .15
IPL     INCITEC PIVOT LIMITED             FPO                  368,911       1,661,088,998         .02
IRE     IRESS LIMITED                     FPO                  223,435         173,141,082         .12
IRI     INTEGRATED RESEARCH LIMITED       FPO                   34,811         171,680,953         .02
ISD     ISENTIA GROUP LIMITED             FPO                    5,811         200,000,001         .00
ISU     ISELECT LIMITED.                  FPO                  371,946         218,408,801         .17
ISX     ISIGNTHIS LTD                     FPO                    2,700         667,296,908         .00
IVC     INVOCARE LIMITED                  FPO                  133,481         110,030,298         .12
JBH     JB HI-FI LIMITED                  FPO                  335,237         114,883,372         .29
JHC     JAPARA HEALTHCARE LIMITED         FPO                   59,371         265,887,509         .02
JHG     JANUS HENDERSON GROUP PLC         CDI 1:1              114,787          75,649,957         .15
JHX     JAMES HARDIE INDUSTRIES PLC       CDI 1:1              433,526         441,524,118         .09
JIN     JUMBO INTERACTIVE LIMITED         FPO                        2          53,599,265         .00
JMS     JUPITER MINES LIMITED.            FPO                   22,259       1,948,340,503         .00
JRV     JERVOIS MINING LIMITED            FPO                      100         210,246,507         .00
JYC     JOYCE CORPORATION LTD             FPO                    1,500          27,588,255         .00
KAR     KAROON GAS AUSTRALIA LIMITED      FPO                  301,748         245,587,786         .12
KBCPA   KEYBRIDGE CAPITAL LIMITED         COVM3WU              848,710           4,401,047       19.28
KDR     KIDMAN RESOURCES LIMITED          FPO                  230,791         398,560,792         .05
KGN     KOGAN.COM LTD                     FPO                   88,989          93,472,345         .09
KMD     KATHMANDU HOLDINGS LIMITED        FPO                   22,395         225,314,819         .01
KNM     KNEOMEDIA LIMITED                 FPO                      496         638,987,847         .00
LAA     LATAM AUTOS LIMITED               FPO                  110,000         364,074,660         .03
LEP     ALE PROPERTY GROUP                STAPLED                1,593         195,769,080         .00
LIC     LIFESTYLE COMMUNITIES LIMITED     FPO                    1,725         104,545,131         .00
LIT     LITHIUM AUSTRALIA NL              FPO                    8,163         419,459,576         .00
LLC     LENDLEASE GROUP                   STAPLED              275,439         579,635,245         .04
LNG     LIQUEFIED NATURAL GAS LIMITED     FPO                   71,611         513,701,956         .01
LNK     LINK ADMINISTRATION HOLDINGS LIMI FPO                  710,445         529,542,847         .13
LOM     LUCAPA DIAMOND COMPANY LIMITED    FPO                    5,542         457,357,882         .00
LON     LONGTABLE GROUP LIMITED           FPO                    5,678          97,007,759         .00
LOV     LOVISA HOLDINGS LIMITED           FPO                   20,918         105,016,000         .02
LTR     LIONTOWN RESOURCES LIMITED        FPO                   25,000         992,876,349         .00
LVH     LIVEHIRE LIMITED                  FPO                   69,523         183,372,926         .03
LYC     LYNAS CORPORATION LIMITED         FPO                  916,209         662,547,136         .13
MCP     MCPHERSON'S LIMITED               FPO                    3,857         104,771,194         .00
MCR     MINCOR RESOURCES NL               FPO                    9,900         220,168,200         .00
MFG     MAGELLAN FINANCIAL GROUP LIMITED  FPO                   74,677         176,211,167         .04
MGR     MIRVAC GROUP                      STAPLED            2,603,019       3,710,871,966         .07
MGV     MUSGRAVE MINERALS LIMITED         FPO                      113         278,999,457         .00
MGX     MOUNT GIBSON IRON LIMITED         FPO                   27,368       1,096,562,516         .00
MHJ     MICHAEL HILL INTERNATIONAL LIMITE FPO                  219,307         387,438,513         .05
MIN     MINERAL RESOURCES LIMITED         FPO                  277,330         187,701,751         .14
MLB     MELBOURNE IT LIMITED              FPO                    9,434         118,498,546         .00
MLD     MACA LIMITED                      FPO                   13,613         268,007,708         .00
MLX     METALS X LIMITED                  FPO                  608,081         612,137,432         .09
MML     MEDUSA MINING LIMITED             FPO                   16,116         207,794,301         .00
MMS     MCMILLAN SHAKESPEARE LIMITED      FPO                   46,381          83,204,720         .05
MNC     METMINCO LIMITED                  FPO                  449,084         912,548,977         .04
MND     MONADELPHOUS GROUP LIMITED        FPO                  105,282          94,108,311         .11
MNF     MNF GROUP LIMITED                 FPO                    1,467          73,117,908         .00
MNS     MAGNIS RESOURCES LIMITED.         FPO                    9,300         572,878,488         .00
MNW     MINT PAYMENTS LIMITED             FPO                    9,163         745,171,440         .00
MNY     MONEY3 CORPORATION LIMITED        FPO                   15,995         164,872,826         .01
MOC     MORTGAGE CHOICE LIMITED           FPO                   20,592         124,997,440         .01
MOD     MOD RESOURCES LIMITED             FPO                  149,859       2,314,822,588         .00
MOY     MILLENNIUM MINERALS LIMITED       FPO                   16,672         791,970,324         .00
MP1     MEGAPORT LIMITED                  FPO                    2,732         117,733,183         .00
MPL     MEDIBANK PRIVATE LIMITED          FPO                1,542,792       2,754,003,240         .05
MQG     MACQUARIE GROUP LIMITED           FPO                  145,875         340,382,738         .04
MRC     MINERAL COMMODITIES LTD           FPO                    5,610         418,441,571         .00
MSB     MESOBLAST LIMITED                 FPO                   47,065         474,165,078         .01
MTO     MOTORCYCLE HOLDINGS LIMITED       FPO                    1,851          61,706,710         .00
MTS     METCASH LIMITED                   FPO                3,826,342         975,641,876         .39
MUA     MITULA GROUP LIMITED              FPO                   51,542         215,406,884         .02
MVF     MONASH IVF GROUP LIMITED          FPO                   36,315         235,395,438         .01
MVP     MEDICAL DEVELOPMENTS INTERNATIONA FPO                   23,151          59,172,092         .03
MYO     MYOB GROUP LIMITED                FPO                  168,627         599,112,568         .02
MYR     MYER HOLDINGS LIMITED             FPO                  632,995         821,278,815         .07
MYS     MYSTATE LIMITED                   FPO                      838          90,308,117         .00
MYX     MAYNE PHARMA GROUP LIMITED        FPO                  860,095       1,563,842,158         .05
NAB     NATIONAL AUSTRALIA BANK LIMITED   FPO                  931,890       2,722,954,227         .03
NAN     NANOSONICS LIMITED                FPO                  524,311         299,336,310         .17
NCK     NICK SCALI LIMITED                FPO                      227          81,000,000         .00
NCM     NEWCREST MINING LIMITED           FPO                  175,823         767,742,814         .02
NCZ     NEW CENTURY RESOURCES LIMITED     FPO                   75,653         503,972,048         .01
NDQ     BETASHARES NASDAQ 100 ETF         ETF UNITS              3,602          18,306,422         .02
NEA     NEARMAP LTD                       FPO                    1,704         392,158,179         .00
NEC     NINE ENTERTAINMENT CO. HOLDINGS L FPO                  705,396         871,373,191         .08
NEU     NEUREN PHARMACEUTICALS LIMITED    FPO NZ                28,494         100,670,020         .02
NGI     NAVIGATOR GLOBAL INVESTMENTS LIMI FPO                    9,575         162,147,897         .00
NHC     NEW HOPE CORPORATION LIMITED      FPO                   10,356         831,151,552         .00
NHF     NIB HOLDINGS LIMITED              FPO                  127,035         454,848,869         .02
NMT     NEOMETALS LTD                     FPO                   65,278         543,532,473         .01
NSL     NSL CONSOLIDATED LIMITED          FPO                   78,643       3,253,070,118         .00
NSR     NATIONAL STORAGE REIT             STAPLED              528,162         559,107,042         .09
NST     NORTHERN STAR RESOURCES LTD       FPO                  652,269         612,695,779         .10
NTC     NETCOMM WIRELESS LIMITED          FPO                    4,476         146,329,906         .00
NUF     NUFARM LIMITED                    FPO                  450,585         327,704,975         .13
NVL     NATIONAL VETERINARY CARE LTD      FPO                   23,987          59,051,360         .04
NVT     NAVITAS LIMITED                   FPO                  127,072         358,192,235         .03
NWC     NEW WORLD COBALT LIMITED          FPO                    8,787         453,662,153         .00
NWH     NRW HOLDINGS LIMITED              FPO                   68,789         370,628,872         .01
